,time,instructions,L1-dcache-load-misses,branch-misses,L2-misses,iTLB-load-misses,dTLB-store-misses,branch-load-misses,L1-icache-load-misses,cycles,dTLB-load-misses,cpi
829,332.177449754,1.0,0.037671743770216544,0.004727752235695034,0.007520982501226031,1.5302351107662218e-05,0.0005406909278871114,0.004759090110105797,0.0010543147094018914,1.1911184732597115,0.004709713581215108,1.1911184732597115
830,332.577626890,1.0,0.03774298640909917,0.0047349752842802155,0.007662790452602671,2.4099380550457043e-05,0.0005214951404928828,0.00465948796781301,0.001110695851576367,1.252713108156153,0.004639033168806876,1.252713108156153
831,332.977830599,1.0,0.037767439600997266,0.004718333065103467,0.007471427739150971,1.2479828060933907e-05,0.0005452445721404768,0.0047316244712819295,0.0009984548661139184,1.2023811659739854,0.004755528416031401,1.2023811659739854
832,333.378011727,1.0,0.03736572689532309,0.0047171931356206126,0.0075695351365742975,1.4145952411528567e-05,0.0005482107126739792,0.0046818829816380365,0.001006200922482784,1.1949483557744245,0.004690419082128372,1.1949483557744245
833,333.778207827,1.0,0.03764349592521613,0.004743297359337015,0.007493974137584259,1.1596013146138595e-05,0.0005370994138112763,0.004747381382900825,0.001023451077540539,1.1912186972009267,0.004746362010619298,1.1912186972009267
834,334.178392306,1.0,0.037495787187384555,0.004721142046269684,0.007502080784884393,1.2470214070619003e-05,0.0005346945596913671,0.004734788079372629,0.0010165687155194417,1.189608312849292,0.004728498754015273,1.189608312849292
835,334.578573380,1.0,0.03756731439338148,0.004725896972871437,0.007408400228646194,1.2128538159089123e-05,0.0005318256179305108,0.00470591306966778,0.0010140967149375125,1.1842002198405994,0.004696925118922343,1.1842002198405994
836,334.978766113,1.0,0.03768622741217648,0.0047089747809279745,0.007580584095355921,1.3198627875494431e-05,0.0005490052135014881,0.00472178343137772,0.0010134367077764225,1.200551365367422,0.004752769509337768,1.200551365367422
837,335.378950795,1.0,0.03744359122800394,0.004678682048346477,0.007502568536515374,1.3275969172768839e-05,0.0005358108584745765,0.00468396319781782,0.0010824894506363493,1.1897695318901362,0.0046810289358278105,1.1897695318901362
838,335.779136221,1.0,0.03738985160160702,0.004710253582888751,0.007449050687735819,1.4360545061998138e-05,0.0005320574149300353,0.004690530572257547,0.0010093168505893823,1.1844205014161022,0.004706950605550025,1.1844205014161022
