,time,dTLB-load-misses,dTLB-store-misses,L2-misses,L1-dcache-load-misses,branch-misses,iTLB-load-misses,L1-icache-load-misses,branch-load-misses,cycles,instructions,cpi
1040,322.896365971,5.105803868689103e-05,8.48473557767312e-07,0.0005067420967723157,0.009207450481253172,0.006255140595092385,2.1529904533419755e-06,0.0008951503549573898,0.006284152656627827,0.749951688748863,1.0,0.749951688748863
1041,323.206532862,2.7876626873359854e-05,3.66195426907847e-07,0.00020123935180282692,0.007328153236110185,0.0075118512987976446,1.9066809968326842e-06,0.0008599817912140858,0.007371215529593129,0.7360702322969845,1.0,0.7360702322969845
1042,323.516753960,3.215257231465238e-05,1.192070333783556e-06,0.0002336876574261328,0.006923451354768024,0.007832235359932998,2.0457465082995218e-06,0.0008893143775772155,0.0078822356605569,0.7134075125916552,1.0,0.7134075125916552
1043,323.827008538,0.00013130959052653262,5.628929369968119e-07,0.0004601196112680634,0.009820337572893571,0.006895830096158889,3.372728568222674e-06,0.0011710469100197753,0.006663664533970254,0.7766345930394607,1.0,0.7766345930394607
1044,324.137163136,0.00033748245882646034,6.415318339453242e-07,0.001058713029190685,0.010264649436673264,0.007622449371962218,8.480007389364625e-06,0.0014103980753047902,0.007781925103954461,0.8111863177398596,1.0,0.8111863177398596
1045,324.447333571,0.00031249561305989125,7.144604797797847e-07,0.0009281791112713847,0.010605055588348507,0.0075591554499168075,7.593962836396184e-06,0.0011705654695141486,0.007439701418015942,0.787340215860866,1.0,0.787340215860866
1046,324.757506380,0.0002640937767212184,4.3188637447064985e-07,0.0009356598480500461,0.0089456245442699,0.00682249009244252,7.3291376362264775e-06,0.0009501310587650937,0.006625504217105367,0.7200627716242566,1.0,0.7200627716242566
1047,325.067658524,0.000345171377694559,1.080743135591817e-06,0.0012483433348570085,0.010872557367220995,0.007155625707011582,7.055122458384195e-06,0.0012539307573247427,0.006810415242766006,0.819820758750962,1.0,0.819820758750962
1048,325.377821182,0.00031389568508258416,1.490859611812745e-06,0.0009905668949098912,0.010623015558777711,0.007751262780944142,7.928319794045905e-06,0.0011861088708976896,0.007477648577054557,0.789584765601864,1.0,0.789584765601864
1049,325.687994177,0.0002664231855667896,1.7635302499480135e-06,0.0008682033778379088,0.009232863300330017,0.0069635234283041934,7.175564302788966e-06,0.0009437627986060946,0.006835047690611596,0.7237600829603491,1.0,0.7237600829603491
1050,325.998154621,7.700351351225271e-05,6.667765310482638e-07,0.00034985948100578837,0.004850697717592492,0.0036451486212527636,1.984424831853732e-06,0.0006631496337523141,0.0038069251241679516,0.5095346187200085,1.0,0.5095346187200085
